product_id,sku,brand,model,product_family,device_type,release_year,os,form_factor,cpu_brand,cpu_model,cpu_tier,cpu_cores,cpu_threads,cpu_base_ghz,cpu_boost_ghz,gpu_brand,gpu_model,gpu_tier,vram_gb,ram_gb,storage_type,storage_gb,storage_drive_count,display_type,display_size_in,resolution,refresh_hz,battery_wh,charger_watts,weight_kg,warranty_months,msrp
P000011,LP-ACER-THINK-VVE-2024,Acer,Acer Think VVE,Think,Laptop,2024,Windows,Ultrabook,Intel,Intel i7-12494,5,16,32,2.8,3.7,NVIDIA,RTX 30 80 Ti,5,12,104,NVMe,512,1,OLED,16.0,3840x2160,60,50,90,1.53,12,3002.99
P000012,LP-APPLE-AIR-W7N-2022,Apple,Apple Air W7N,Air,Laptop,2022,Linux,2-in-1,Apple,Apple M1 Max,6,26,26,3.0,3.8,Apple,Apple Integrated,6,4,144,NVMe,2048,1,OLED,16.0,2560x1600,90,60,65,1.53,12,3546.99
P000013,LP-SAMSUNG-BLADE-1NN-2024,Samsung,Samsung Blade 1NN,Blade,Laptop,2024,Windows,Gaming,Intel,Intel i5-10570,3,10,20,2.4,3.4,NVIDIA,RTX 40 80,4,10,32,SSD,2048,1,OLED,17.3,1920x1080,60,70,120,1.84,24,2386.99
P000014,LP-SAMSUNG-LEGION-TES-2022,Samsung,Samsung Legion TES,Legion,Laptop,2022,ChromeOS,Mainstream,AMD,AMD Ryzen 9 3455,6,24,48,3.0,3.8,AMD,RX 5000 90,6,16,128,NVMe,512,1,Mini-LED,15.6,2560x1600,60,70,120,2.0,36,3173.99
P000015,LP-SAMSUNG-SLIM-OOO-2021,Samsung,Samsung Slim OOO,Slim,Laptop,2021,Windows,Ultrabook,AMD,AMD Ryzen 5 5188,3,8,16,2.4,3.3,NVIDIA,RTX 30 70,3,8,40,SSD,2048,1,OLED,15.6,1920x1080,240,80,90,1.7,24,2269.99
P000016,LP-HP-THINK-E41-2021,HP,HP Think E41,Think,Laptop,2021,Windows,Mainstream,Intel,Intel i5-10828,3,8,16,2.4,3.2,NVIDIA,RTX 40 60,2,6,16,NVMe,512,2,LED,17.3,1920x1080,60,80,65,1.24,36,1274.99
P000017,LP-APPLE-THINK-YDD-2020,Apple,Apple Think YDD,Think,Laptop,2020,Windows,Gaming,Apple,Apple M2,5,16,16,2.8,3.7,Apple,Apple Integrated,5,2,96,NVMe,1024,1,OLED,14.0,1920x1080,120,70,90,1.17,24,3163.99
P000018,LP-HP-NITRO-4Z1-2018,HP,HP Nitro 4Z1,Nitro,Laptop,2018,Linux,Ultrabook,AMD,AMD Ryzen 7 7753,5,16,30,2.8,3.6,NVIDIA,RTX 40 80,4,10,64,NVMe,512,2,Mini-LED,14.0,1920x1080,60,80,45,2.37,24,2232.99
P000019,LP-ACER-CREATOR-WM6-2023,Acer,Acer Creator WM6,Creator,Laptop,2023,Windows,Gaming,AMD,AMD Ryzen 7 5904,5,18,36,2.8,3.7,NVIDIA,RTX 30 80,4,10,64,NVMe,2048,1,Mini-LED,15.6,2560x1600,60,56,65,2.5,12,2307.99
P000020,LP-HP-STEALTH-JXJ-2024,HP,HP Stealth JXJ,Stealth,Laptop,2024,Windows,Mainstream,Intel,Intel i7-11751,5,18,34,2.8,3.7,AMD,RX 7000 80,4,10,64,Hybrid,512,1,VA,15.6,2880x1800,60,80,90,2.5,12,1947.99
P000021,LP-SAMSUNG-NITRO-LFH-2022,Samsung,Samsung Nitro LFH,Nitro,Laptop,2022,Windows,Gaming,Intel,Intel i7-12550,4,12,24,2.6,3.6,Apple,Apple Integrated,5,4,72,Hybrid,1024,1,IPS,13.3,1920x1080,240,56,240,1.82,48,2623.99
P000022,LP-LENOVO-LEGION-S6M-2022,Lenovo,Lenovo Legion S6M,Legion,Laptop,2022,Windows,Ultrabook,Intel,Intel i3-14339,1,4,8,2.0,2.8,NVIDIA,RTX 40 50,1,4,24,NVMe,512,1,QLED,17.3,2560x1600,165,90,45,1.24,24,1410.99
P000023,LP-ASUS-BLADE-2FW-2023,ASUS,ASUS Blade 2FW,Blade,Laptop,2023,Windows,Mainstream,Intel,Intel i7-12337,5,16,32,2.8,3.8,Apple,Apple Integrated,5,6,96,NVMe,2048,1,Mini-LED,15.6,3840x2160,240,90,65,1.5,24,3151.99
P000024,LP-MSI-THINK-CPX-2024,MSI,MSI Think CPX,Think,Laptop,2024,Windows,Gaming,Intel,Intel i9-14792,6,26,52,3.0,4.0,NVIDIA,RTX 30 90,6,16,128,SSD,256,1,LED,17.3,2560x1600,60,80,65,2.64,12,3039.99
P000025,LP-DELL-SLIM-YB5-2020,Dell,Dell Slim YB5,Slim,Laptop,2020,macOS,Mainstream,Intel,Intel i5-14367,2,6,12,2.2,3.3,Apple,Apple Integrated,2,4,16,SSD,1024,2,LED,15.6,1920x1080,240,70,180,1.5,24,1691.99
P000026,LP-HP-SLIM-7K8-2021,HP,HP Slim 7K8,Slim,Laptop,2021,Windows,Gaming,Intel,Intel i5-10423,3,8,16,2.4,3.2,NVIDIA,RTX 40 70,3,8,32,SSD,2048,1,Mini-LED,16.0,3840x2160,60,60,65,1.33,36,2165.99
P000027,LP-LENOVO-PRO-2DS-2025,Lenovo,Lenovo Pro 2DS,Pro,Laptop,2025,Windows,Gaming,AMD,AMD Ryzen 5 7130,3,8,16,2.4,3.4,NVIDIA,RTX 30 70,3,8,32,SSD,2048,2,VA,13.3,1920x1080,144,50,90,1.32,12,2278.99
P000028,LP-LENOVO-AIR-A7O-2019,Lenovo,Lenovo Air A7O,Air,Laptop,2019,Windows,Workstation,AMD,AMD Ryzen 5 5196,3,10,20,2.4,3.3,NVIDIA,RTX 40 70,3,8,32,HDD,512,1,IPS,15.6,1920x1080,120,70,65,2.0,24,1559.99
P000029,LP-SAMSUNG-BLADE-BK2-2021,Samsung,Samsung Blade BK2,Blade,Laptop,2021,Windows,2-in-1,Intel,Intel i5-14635,2,8,16,2.2,3.2,Intel,Arc A310,1,2,8,SSD,512,1,LED,14.0,1920x1080,120,60,90,1.37,24,969.99
P000030,LP-HP-PRO-KBJ-2024,HP,HP Pro KBJ,Pro,Laptop,2024,Windows,Mainstream,AMD,AMD Ryzen 5 7344,3,8,16,2.4,3.4,NVIDIA,RTX 40 60,2,6,16,SSD,512,2,LED,14.0,1920x1080,120,60,90,1.37,12,1382.99
P000031,LP-ACER-THINK-1M6-2022,Acer,Acer Think 1M6,Think,Laptop,2022,Windows,Mainstream,Intel,Intel i3-13813,1,4,8,2.0,3.0,AMD,RX 7000 50,1,4,8,SSD,512,1,QLED,15.6,1920x1080,144,60,90,1.5,24,1069.99
P000032,LP-ASUS-ZEN-L7M-2019,ASUS,ASUS Zen L7M,Zen,Laptop,2019,Windows,2-in-1,Intel,Intel i5-14844,3,8,16,2.4,3.3,NVIDIA,RTX 30 70,3,8,32,NVMe,1024,1,IPS,15.6,1920x1080,90,56,120,2.0,24,1648.99
P000033,LP-SAMSUNG-AIR-T5O-2025,Samsung,Samsung Air T5O,Air,Laptop,2025,Windows,Ultrabook,AMD,AMD Ryzen 5 3264,3,10,20,2.4,3.3,NVIDIA,RTX 30 70,3,8,32,NVMe,2048,1,Mini-LED,17.3,2560x1600,60,70,45,1.84,24,2538.99
P000034,LP-APPLE-NITRO-CSB-2022,Apple,Apple Nitro CSB,Nitro,Laptop,2022,Windows,Mainstream,Apple,Apple M3,2,6,6,2.2,3.2,Apple,Apple Integrated,2,6,16,NVMe,256,1,LED,14.0,2880x1800,60,56,65,1.17,24,1706.99
P000035,LP-APPLE-ZEN-4U3-2024,Apple,Apple Zen 4U3,Zen,Laptop,2024,Windows,Ultrabook,Apple,Apple M1,3,10,10,2.4,3.5,Apple,Apple Integrated,2,4,16,HDD,256,1,IPS,15.6,1920x1080,60,56,90,2.5,36,1768.99
P000036,LP-HP-BLADE-F4K-2022,HP,HP Blade F4K,Blade,Laptop,2022,macOS,Ultrabook,AMD,AMD Ryzen 7 3630,5,16,32,2.8,3.8,NVIDIA,RTX 30 80 Ti,5,12,96,Hybrid,1024,1,IPS,17.3,1920x1080,60,90,120,1.84,48,2805.99
P000037,LP-LENOVO-BLADE-J8E-2023,Lenovo,Lenovo Blade J8E,Blade,Laptop,2023,macOS,Gaming,Intel,Intel i5-11827,2,6,12,2.2,3.0,Intel,Arc A580,3,4,16,Hybrid,512,1,LED,14.0,2560x1600,60,70,90,0.97,12,2034.99
P000038,LP-APPLE-ZEN-DAZ-2024,Apple,Apple Zen DAZ,Zen,Laptop,2024,macOS,2-in-1,Apple,Apple M1 Max,4,12,12,2.6,3.6,Apple,Apple Integrated,2,4,32,SSD,1024,2,LED,14.0,1920x1080,60,70,120,1.87,24,1862.99
P000039,LP-ACER-CREATOR-Q7S-2022,Acer,Acer Creator Q7S,Creator,Laptop,2022,Windows,Gaming,Intel,Intel i5-11451,2,6,12,2.2,3.1,Intel,Arc A310,1,2,8,SSD,512,1,OLED,15.6,1920x1080,144,56,90,1.3,24,1559.99
P000040,LP-LENOVO-SLIM-QH3-2022,Lenovo,Lenovo Slim QH3,Slim,Laptop,2022,Windows,Ultrabook,Intel,Intel i5-11252,2,6,12,2.2,3.2,NVIDIA,RTX 40 50,1,4,8,NVMe,512,1,QLED,14.0,2560x1600,60,90,45,1.37,36,1634.99
P000041,LP-HP-ZEN-PCS-2022,HP,HP Zen PCS,Zen,Laptop,2022,Linux,Mainstream,AMD,AMD Ryzen 5 7246,3,8,16,2.4,3.3,Intel,Arc B380,2,0,16,NVMe,1024,1,VA,14.0,3840x2160,60,50,120,2.37,12,1911.99
P000042,LP-SAMSUNG-PRO-7SU-2024,Samsung,Samsung Pro 7SU,Pro,Laptop,2024,Windows,Gaming,Intel,Intel i5-10821,3,8,16,2.4,3.4,NVIDIA,RTX 40 70,3,8,32,SSD,256,2,Mini-LED,15.6,1920x1080,60,56,120,2.0,12,2150.99
P000043,LP-RAZER-SLIM-BFU-2019,Razer,Razer Slim BFU,Slim,Laptop,2019,Windows,Mainstream,AMD,AMD Ryzen 5 4532,3,8,16,2.4,3.2,AMD,RX 6000 70,3,8,32,SSD,2048,1,Mini-LED,14.0,1920x1080,60,90,90,1.37,24,2139.99
P000044,LP-HP-NITRO-PL6-2021,HP,HP Nitro PL6,Nitro,Laptop,2021,macOS,2-in-1,AMD,AMD Ryzen 3 6133,1,4,8,2.0,3.0,AMD,RX 6000 50,1,4,8,NVMe,512,1,LED,15.6,1920x1080,90,70,240,2.0,24,1107.99
P000045,LP-MSI-SLIM-LW9-2023,MSI,MSI Slim LW9,Slim,Laptop,2023,Linux,Ultrabook,Intel,Intel i5-11704,2,8,16,2.2,3.3,NVIDIA,RTX 40 60,2,6,16,SSD,1024,1,OLED,14.0,1920x1080,60,50,120,2.37,12,1651.99
P000046,LP-ASUS-BLADE-9J8-2024,ASUS,ASUS Blade 9J8,Blade,Laptop,2024,Windows,Gaming,Intel,Intel i7-12386,5,16,32,2.8,3.7,NVIDIA,RTX 40 80 Ti,5,12,96,HDD,512,1,Mini-LED,14.0,1920x1080,60,90,120,1.17,12,2405.99
P000047,LP-HP-NITRO-806-2021,HP,HP Nitro 806,Nitro,Laptop,2021,Windows,Ultrabook,AMD,AMD Ryzen 5 5358,2,8,16,2.2,3.3,NVIDIA,RTX 30 60,2,6,16,NVMe,1024,1,OLED,15.6,1920x1080,60,60,45,1.3,12,1456.99
P000048,LP-MSI-NITRO-ZVI-2024,MSI,MSI Nitro ZVI,Nitro,Laptop,2024,macOS,Ultrabook,AMD,AMD Ryzen 5 6872,2,6,12,2.2,3.0,AMD,RX 6000 70,3,8,16,NVMe,1024,1,VA,15.6,1920x1080,120,90,90,2.0,36,2208.99
P000049,LP-DELL-STEALTH-S81-2023,Dell,Dell Stealth S81,Stealth,Laptop,2023,Windows,2-in-1,AMD,AMD Ryzen 7 6106,4,14,28,2.6,3.7,NVIDIA,RTX 30 80,4,10,64,NVMe,1024,1,QLED,14.0,1920x1080,60,80,180,1.37,36,2447.99
P000050,LP-HP-BLADE-2I3-2025,HP,HP Blade 2I3,Blade,Laptop,2025,Windows,Gaming,AMD,AMD Ryzen 5 3993,2,6,12,2.2,3.3,Apple,Apple Integrated,3,0,16,HDD,256,1,IPS,15.6,1920x1080,120,50,45,3.0,48,1436.99
P000051,LP-ASUS-PRO-EKL-2021,ASUS,ASUS Pro EKL,Pro,Laptop,2021,Windows,Gaming,Intel,Intel i5-11918,2,6,12,2.2,3.1,NVIDIA,RTX 40 50,1,4,16,NVMe,512,1,LED,15.6,1920x1080,120,60,65,1.7,24,1160.99
P000052,LP-GIGABYTE-SLIM-GCS-2021,Gigabyte,Gigabyte Slim GCS,Slim,Laptop,2021,Windows,Ultrabook,Intel,Intel i9-13185,6,26,52,3.0,4.1,Apple,Apple Integrated,5,2,96,NVMe,512,1,QLED,16.0,1920x1080,165,70,45,1.53,24,2532.99
P000053,LP-MSI-STEALTH-I3Y-2025,MSI,MSI Stealth I3Y,Stealth,Laptop,2025,ChromeOS,Gaming,Intel,Intel i7-13813,4,12,24,2.6,3.5,NVIDIA,RTX 30 80,4,10,64,HDD,2048,1,LED,14.0,1920x1080,60,60,65,1.57,24,1691.99
P000054,LP-HP-THINK-XY6-2023,HP,HP Think XY6,Think,Laptop,2023,Windows,2-in-1,AMD,AMD Ryzen 7 4294,4,12,24,2.6,3.6,NVIDIA,RTX 30 70,3,8,32,NVMe,1024,1,LED,15.6,1920x1080,60,90,90,1.7,12,1734.99
P000055,LP-RAZER-BLADE-0I1-2019,Razer,Razer Blade 0I1,Blade,Laptop,2019,Windows,Gaming,AMD,AMD Ryzen 7 4640,4,12,24,2.6,3.6,AMD,RX 6000 80 XT,5,12,72,Hybrid,512,1,LED,15.6,3840x2160,120,70,90,2.0,12,3014.99
P000056,LP-MSI-STEALTH-FO0-2023,MSI,MSI Stealth FO0,Stealth,Laptop,2023,Windows,Mainstream,Intel,Intel i5-14192,2,8,16,2.2,3.1,NVIDIA,RTX 30 50,1,4,8,SSD,512,1,OLED,15.6,1920x1080,60,70,180,1.7,12,1381.99
P000057,LP-MSI-NITRO-OWS-2023,MSI,MSI Nitro OWS,Nitro,Laptop,2023,Windows,Gaming,AMD,AMD Ryzen 7 6246,5,16,32,2.8,3.6,NVIDIA,RTX 40 80 Ti,5,12,96,HDD,1024,1,LED,15.6,2880x1800,60,50,180,2.0,12,2731.99
P000058,LP-APPLE-STEALTH-TRV-2025,Apple,Apple Stealth TRV,Stealth,Laptop,2025,Windows,Gaming,Apple,Apple M1 Pro,4,12,12,2.6,3.5,Apple,Apple Integrated,4,0,64,SSD,256,1,OLED,15.6,1920x1080,60,80,90,1.5,48,2564.99
P000059,LP-APPLE-AIR-7O4-2020,Apple,Apple Air 7O4,Air,Laptop,2020,Windows,Ultrabook,Apple,Apple M1 Max,3,10,10,2.4,3.3,Apple,Apple Integrated,2,0,16,Hybrid,1024,1,VA,14.0,1920x1080,165,56,120,1.57,36,1919.99
P000060,LP-GIGABYTE-BLADE-N5W-2019,Gigabyte,Gigabyte Blade N5W,Blade,Laptop,2019,Windows,Mainstream,AMD,AMD Ryzen 5 4238,3,8,16,2.4,3.5,NVIDIA,RTX 40 70,3,8,32,SSD,512,1,Mini-LED,15.6,1920x1080,60,80,90,1.3,24,1833.99
P000061,LP-LENOVO-CREATOR-4SP-2022,Lenovo,Lenovo Creator 4SP,Creator,Laptop,2022,Windows,Ultrabook,Intel,Intel i5-12741,2,6,12,2.2,3.1,NVIDIA,RTX 30 50,1,4,8,SSD,256,1,LED,14.0,1920x1080,120,90,45,2.37,24,1105.99
P000062,LP-APPLE-SLIM-ORJ-2023,Apple,Apple Slim ORJ,Slim,Laptop,2023,macOS,Mainstream,Apple,Apple M1 Pro,4,12,12,2.6,3.7,Apple,Apple Integrated,2,4,32,SSD,512,2,Mini-LED,15.6,1920x1080,240,60,65,2.0,12,2437.99
P000063,LP-LENOVO-ZEN-MTK-2024,Lenovo,Lenovo Zen MTK,Zen,Laptop,2024,Windows,2-in-1,Intel,Intel i5-11589,2,8,16,2.2,3.1,NVIDIA,RTX 40 50,1,4,8,SSD,512,1,QLED,15.6,2560x1600,120,90,180,1.5,36,1532.99
P000064,LP-LENOVO-LEGION-P7U-2025,Lenovo,Lenovo Legion P7U,Legion,Laptop,2025,Windows,Gaming,AMD,AMD Ryzen 5 5428,3,10,20,2.4,3.3,Apple,Apple Integrated,4,0,32,NVMe,2048,1,LED,16.0,1920x1080,60,99,120,1.73,24,1806.99
P000065,LP-DELL-AIR-FQ3-2023,Dell,Dell Air FQ3,Air,Laptop,2023,Windows,Mainstream,Intel,Intel i5-14378,3,10,18,2.4,3.4,NVIDIA,RTX 40 80,4,10,32,NVMe,1024,1,QLED,15.6,1920x1080,120,90,90,1.5,12,2000.99
P000066,LP-ASUS-PRO-EIY-2020,ASUS,ASUS Pro EIY,Pro,Laptop,2020,Windows,Gaming,AMD,AMD Ryzen 5 3923,3,8,16,2.4,3.3,NVIDIA,RTX 40 70,3,8,32,SSD,256,1,LED,14.0,2560x1600,60,60,45,1.87,24,1936.99
P000067,LP-ACER-SLIM-PG3-2019,Acer,Acer Slim PG3,Slim,Laptop,2019,macOS,Mainstream,Intel,Intel i5-12483,3,8,16,2.4,3.3,AMD,RX 7000 60,2,6,24,NVMe,1024,1,OLED,15.6,1920x1080,165,90,90,1.7,24,2105.99
P000068,LP-DELL-BLADE-DOQ-2020,Dell,Dell Blade DOQ,Blade,Laptop,2020,Windows,Mainstream,Intel,Intel i5-10793,3,8,16,2.4,3.4,NVIDIA,RTX 40 70,3,8,32,NVMe,512,1,OLED,15.6,2880x1800,120,70,90,1.7,36,2160.99
P000069,LP-LENOVO-SLIM-C7H-2025,Lenovo,Lenovo Slim C7H,Slim,Laptop,2025,Windows,Ultrabook,AMD,AMD Ryzen 5 4268,2,6,12,2.2,3.2,AMD,RX 7000 60,2,6,16,Hybrid,512,1,OLED,17.3,3840x2160,90,70,65,2.14,24,1857.99
P000070,LP-HP-BLADE-J4W-2020,HP,HP Blade J4W,Blade,Laptop,2020,macOS,Gaming,Intel,Intel i7-13790,4,12,24,2.6,3.6,Intel,Arc A770,5,0,64,NVMe,512,1,LED,15.6,1920x1080,165,50,90,2.0,12,2341.99
P000071,LP-HP-STEALTH-VOF-2024,HP,HP Stealth VOF,Stealth,Laptop,2024,macOS,Ultrabook,Intel,Intel i9-12168,6,24,48,3.0,3.8,NVIDIA,RTX 40 80,4,10,96,Hybrid,1024,1,IPS,14.0,3840x2160,144,60,90,1.87,24,3284.99
P000072,LP-DELL-PRO-NXA-2018,Dell,Dell Pro NXA,Pro,Laptop,2018,Windows,Gaming,Intel,Intel i7-12646,4,12,24,2.6,3.6,AMD,RX 6000 80,4,10,64,HDD,256,1,LED,13.3,1920x1080,60,60,65,1.12,12,1783.99
P000073,LP-DELL-PRO-TKC-2024,Dell,Dell Pro TKC,Pro,Laptop,2024,Windows,Gaming,Intel,Intel i7-10123,5,16,30,2.8,3.9,NVIDIA,RTX 20 80,4,10,64,SSD,256,1,IPS,14.0,1920x1080,120,56,65,2.37,24,2179.99
P000074,LP-ASUS-THINK-UEH-2019,ASUS,ASUS Think UEH,Think,Laptop,2019,Linux,Gaming,Intel,Intel i7-10202,4,12,22,2.6,3.5,NVIDIA,RTX 40 80 Ti,5,12,72,Hybrid,512,1,LED,14.0,1920x1080,60,80,65,1.57,12,2190.99
P000075,LP-LENOVO-ZEN-P4U-2022,Lenovo,Lenovo Zen P4U,Zen,Laptop,2022,Linux,Ultrabook,Intel,Intel i7-10299,5,16,32,2.8,3.8,Apple,Apple Integrated,4,0,64,NVMe,2048,1,QLED,14.0,2880x1800,120,70,45,1.57,24,2359.99
P000076,LP-APPLE-THINK-I94-2022,Apple,Apple Think I94,Think,Laptop,2022,Windows,Gaming,Apple,Apple M2 Pro,6,26,26,3.0,3.9,Apple,Apple Integrated,6,0,128,SSD,1024,1,LED,15.6,1920x1080,120,56,90,1.5,24,3428.99
P000077,LP-APPLE-PRO-ZZF-2024,Apple,Apple Pro ZZF,Pro,Laptop,2024,Windows,Ultrabook,Apple,Apple M3 Pro,5,16,16,2.8,3.8,Apple,Apple Integrated,5,4,96,SSD,2048,2,LED,13.3,1920x1080,90,99,65,0.92,36,2902.99
P000078,LP-DELL-SLIM-V9M-2020,Dell,Dell Slim V9M,Slim,Laptop,2020,Windows,Ultrabook,Intel,Intel i5-10114,2,6,12,2.2,3.2,NVIDIA,RTX 40 50,1,4,8,SSD,512,1,IPS,14.0,1920x1080,60,50,180,1.57,12,1057.99
P000079,LP-DELL-ZEN-C3D-2025,Dell,Dell Zen C3D,Zen,Laptop,2025,Windows,Gaming,Intel,Intel i5-11939,2,6,12,2.2,3.2,AMD,RX 7000 60,2,6,16,NVMe,512,1,IPS,15.6,1920x1080,60,70,90,2.5,24,1535.99
P000080,LP-DELL-SLIM-YL6-2022,Dell,Dell Slim YL6,Slim,Laptop,2022,Windows,Gaming,Intel,Intel i3-12280,1,4,8,2.0,2.9,NVIDIA,RTX 40 50,1,4,8,SSD,256,1,LED,16.0,1920x1080,165,70,180,1.33,12,1023.99
P000081,LP-LENOVO-ZEN-7XQ-2019,Lenovo,Lenovo Zen 7XQ,Zen,Laptop,2019,Windows,2-in-1,Intel,Intel i5-13486,2,6,12,2.2,3.0,NVIDIA,RTX 20 60,2,6,16,HDD,2048,1,LED,13.3,2880x1800,120,50,65,1.52,12,1403.99
P000082,LP-ASUS-CREATOR-R8O-2025,ASUS,ASUS Creator R8O,Creator,Laptop,2025,Windows,Mainstream,Intel,Intel i7-10209,4,12,24,2.6,3.7,NVIDIA,RTX 30 60,2,6,32,Hybrid,256,1,OLED,15.6,1920x1080,60,56,65,1.7,12,1933.99
P000083,LP-HP-SLIM-3UQ-2023,HP,HP Slim 3UQ,Slim,Laptop,2023,Windows,2-in-1,Intel,Intel i7-11925,5,16,32,2.8,3.9,NVIDIA,RTX 40 80,4,10,64,HDD,256,1,IPS,13.3,1920x1080,60,56,65,1.32,12,2148.99
P000084,LP-LENOVO-ZEN-45O-2022,Lenovo,Lenovo Zen 45O,Zen,Laptop,2022,Windows,Ultrabook,Intel,Intel i3-13960,1,6,12,2.0,3.0,NVIDIA,RTX 40 50,1,4,8,SSD,512,1,Mini-LED,15.6,2560x1600,60,60,65,1.7,36,1432.99
P000085,LP-SAMSUNG-BLADE-DL6-2023,Samsung,Samsung Blade DL6,Blade,Laptop,2023,Windows,Mainstream,Intel,Intel i5-11100,3,8,16,2.4,3.5,Apple,Apple Integrated,3,2,32,SSD,256,1,Mini-LED,15.6,1920x1080,144,80,65,1.7,12,1561.99
P000086,LP-HP-CREATOR-CX3-2024,HP,HP Creator CX3,Creator,Laptop,2024,Windows,Mainstream,Intel,Intel i5-12545,3,8,16,2.4,3.2,NVIDIA,RTX 30 80,4,10,32,HDD,512,1,IPS,15.6,2560x1600,90,80,180,1.7,12,2197.99
P000087,LP-APPLE-THINK-MF2-2024,Apple,Apple Think MF2,Think,Laptop,2024,Windows,Gaming,Apple,Apple M1,1,6,6,2.0,3.0,Apple,Apple Integrated,1,0,8,NVMe,2048,1,IPS,15.6,2880x1800,144,60,90,1.3,24,2112.99
P000088,LP-DELL-NITRO-IYG-2025,Dell,Dell Nitro IYG,Nitro,Laptop,2025,Linux,Ultrabook,AMD,AMD Ryzen 5 4961,3,8,16,2.4,3.4,NVIDIA,RTX 40 80,4,10,32,NVMe,2048,1,QLED,15.6,1920x1080,60,50,65,3.0,36,2166.99
P000089,LP-DELL-STEALTH-CPC-2018,Dell,Dell Stealth CPC,Stealth,Laptop,2018,Windows,Gaming,Intel,Intel i7-13771,4,14,26,2.6,3.7,NVIDIA,RTX 30 80 Ti,5,12,64,NVMe,1024,2,LED,14.0,1920x1080,120,56,240,1.57,24,2459.99
P000090,LP-HP-CREATOR-CMV-2019,HP,HP Creator CMV,Creator,Laptop,2019,Windows,Mainstream,AMD,AMD Ryzen 3 6273,1,6,12,2.0,3.0,NVIDIA,RTX 30 60,2,6,8,HDD,512,1,OLED,15.6,1920x1080,120,60,180,1.3,12,1353.99
