repair_id,product_id,sku,component_id,component_type,failure_date,date_key,failure_year,failure_month,failure_quarter,failure_type,failure_description,repair_status,warranty_claim,warranty_status,release_year,product_age_years,warranty_months,repair_cost,replacement_cost,bom_replacement_cost,cost_difference,repair_vs_replacement_ratio,downtime_days,component_cost,repairability_score,recyclability_score,estimated_resale_value,brand,model,product_family,msrp,component_type_bom
R0000011,P000019,LP-ACER-CREATOR-WM6-2023,MB-ACER-CREATOR-WM6-2023,Motherboard,2025-09-11,20250911,2025,9,Q3,Boot failure,Boot failure reported for motherboard.,Component Replaced,False,Out of Warranty,2023,2,12,582.49,582.49,582.49,0.0,1.0,7,539.3,4,7,252.05,Acer,Acer Creator WM6,Creator,2307.99,Motherboard
R0000012,P000020,LP-HP-STEALTH-JXJ-2024,MB-HP-STEALTH-JXJ-2024,Motherboard,2024-03-04,20240304,2024,3,Q1,Boot failure,Boot failure reported for motherboard.,Component Replaced,True,Under Warranty,2024,0,12,470.59,470.59,470.59,0.0,1.0,11,438.69,4,7,220.31,HP,HP Stealth JXJ,Stealth,1947.99,Motherboard
R0000013,P000021,LP-SAMSUNG-NITRO-LFH-2022,BAT-SAMSUNG-NITRO-LFH-2022,Battery,2025-08-26,20250826,2025,8,Q3,Rapid battery drain,Rapid battery drain reported for battery.,Component Replaced,True,Under Warranty,2022,3,48,246.64,246.64,246.64,0.0,1.0,2,209.61,8,5,64.57,Samsung,Samsung Nitro LFH,Nitro,2623.99,Battery
R0000014,P000021,LP-SAMSUNG-NITRO-LFH-2022,SSD-SAMSUNG-NITRO-LFH-2022,SSD,2026-05-12,20260512,2026,5,Q2,Performance degradation,Performance degradation reported for ssd.,Component Replaced,False,Out of Warranty,2022,4,48,250.3,250.3,250.3,0.0,1.0,6,221.05,8,7,131.18,Samsung,Samsung Nitro LFH,Nitro,2623.99,SSD
R0000015,P000022,LP-LENOVO-LEGION-S6M-2022,BAT-LENOVO-LEGION-S6M-2022,Battery,2025-10-12,20251012,2025,10,Q4,Battery swelling,Battery swelling reported for battery.,Component Replaced,False,Out of Warranty,2022,3,24,123.13,123.13,123.13,0.0,1.0,2,103.68,8,5,44.61,Lenovo,Lenovo Legion S6M,Legion,1410.99,Battery
R0000016,P000023,LP-ASUS-BLADE-2FW-2023,RAM-ASUS-BLADE-2FW-2023,RAM,2025-07-24,20250724,2025,7,Q3,RAM module failure,RAM module failure reported for ram.,Component Replaced,False,Out of Warranty,2023,2,24,271.48,271.48,271.48,0.0,1.0,4,224.77,9,8,95.37,ASUS,ASUS Blade 2FW,Blade,3151.99,RAM
R0000017,P000024,LP-MSI-THINK-CPX-2024,DSP-MSI-THINK-CPX-2024,Display,2024-01-03,20240103,2024,1,Q1,Dead pixels,Dead pixels reported for display.,Component Replaced,True,Under Warranty,2024,0,12,593.45,593.45,593.45,0.0,1.0,7,517.14,6,6,301.42,MSI,MSI Think CPX,Think,3039.99,Display
R0000018,P000025,LP-DELL-SLIM-YB5-2020,KBD-DELL-SLIM-YB5-2020,Keyboard,2026-04-06,20260406,2026,4,Q2,Liquid damage,Liquid damage reported for keyboard.,Component Replaced,False,Out of Warranty,2020,6,24,91.35,91.35,91.35,0.0,1.0,2,73.49,7,6,18.81,Dell,Dell Slim YB5,Slim,1691.99,Keyboard
R0000019,P000026,LP-HP-SLIM-7K8-2021,BAT-HP-SLIM-7K8-2021,Battery,2023-06-02,20230602,2023,6,Q2,Battery not charging,Battery not charging reported for battery.,Component Replaced,True,Under Warranty,2021,2,36,196.03,196.03,196.03,0.0,1.0,2,161.62,8,5,80.7,HP,HP Slim 7K8,Slim,2165.99,Battery
R0000020,P000028,LP-LENOVO-AIR-A7O-2019,DSP-LENOVO-AIR-A7O-2019,Display,2026-04-29,20260429,2026,4,Q2,Backlight failure,Backlight failure reported for display.,Component Replaced,False,Out of Warranty,2019,7,24,332.79,332.79,332.79,0.0,1.0,7,284.48,6,6,162.74,Lenovo,Lenovo Air A7O,Air,1559.99,Display
R0000021,P000030,LP-HP-PRO-KBJ-2024,MB-HP-PRO-KBJ-2024,Motherboard,2024-03-02,20240302,2024,3,Q1,Charging circuit failure,Charging circuit failure reported for motherboard.,Repaired,True,Under Warranty,2024,0,12,168.85,332.76,332.76,163.91,0.5074227671595144,15,275.9,4,7,89.64,HP,HP Pro KBJ,Pro,1382.99,Motherboard
R0000022,P000030,LP-HP-PRO-KBJ-2024,DSP-HP-PRO-KBJ-2024,Display,2025-07-04,20250704,2025,7,Q3,Screen flickering,Screen flickering reported for display.,Component Replaced,False,Out of Warranty,2024,1,12,243.94,243.94,243.94,0.0,1.0,8,224.7,6,6,142.12,HP,HP Pro KBJ,Pro,1382.99,Display
R0000023,P000033,LP-SAMSUNG-AIR-T5O-2025,MB-SAMSUNG-AIR-T5O-2025,Motherboard,2026-06-23,20260623,2026,6,Q2,Power failure,Power failure reported for motherboard.,Component Replaced,True,Under Warranty,2025,1,24,674.17,674.17,674.17,0.0,1.0,11,557.18,4,7,218.05,Samsung,Samsung Air T5O,Air,2538.99,Motherboard
R0000024,P000035,LP-APPLE-ZEN-4U3-2024,MB-APPLE-ZEN-4U3-2024,Motherboard,2026-04-06,20260406,2026,4,Q2,System instability,System instability reported for motherboard.,Component Replaced,True,Under Warranty,2024,2,36,515.98,515.98,515.98,0.0,1.0,11,415.76,4,7,112.09,Apple,Apple Zen 4U3,Zen,1768.99,Motherboard
R0000025,P000035,LP-APPLE-ZEN-4U3-2024,BAT-APPLE-ZEN-4U3-2024,Battery,2025-09-20,20250920,2025,9,Q3,Battery swelling,Battery swelling reported for battery.,Component Replaced,True,Under Warranty,2024,1,36,168.23,168.23,168.23,0.0,1.0,4,147.32,8,5,34.5,Apple,Apple Zen 4U3,Zen,1768.99,Battery
R0000026,P000037,LP-LENOVO-BLADE-J8E-2023,MB-LENOVO-BLADE-J8E-2023,Motherboard,2026-07-08,20260708,2026,7,Q3,Charging circuit failure,Charging circuit failure reported for motherboard.,Component Replaced,False,Out of Warranty,2023,3,12,492.03,492.03,492.03,0.0,1.0,10,413.73,4,7,146.02,Lenovo,Lenovo Blade J8E,Blade,2034.99,Motherboard
R0000027,P000038,LP-APPLE-ZEN-DAZ-2024,SSD-APPLE-ZEN-DAZ-2024,SSD,2025-05-04,20250504,2025,5,Q2,Drive not detected,Drive not detected reported for ssd.,Repaired,True,Under Warranty,2024,1,24,90.09,200.94,200.94,110.85,0.44834278889220663,7,177.27,8,7,105.58,Apple,Apple Zen DAZ,Zen,1862.99,SSD
R0000028,P000039,LP-ACER-CREATOR-Q7S-2022,BAT-ACER-CREATOR-Q7S-2022,Battery,2022-01-31,20220131,2022,1,Q1,Battery degradation,Battery degradation reported for battery.,Component Replaced,True,Under Warranty,2022,0,24,139.56,139.56,139.56,0.0,1.0,3,113.76,8,5,70.25,Acer,Acer Creator Q7S,Creator,1559.99,Battery
R0000029,P000040,LP-LENOVO-SLIM-QH3-2022,SSD-LENOVO-SLIM-QH3-2022,SSD,2022-06-29,20220629,2022,6,Q2,Read/write errors,Read/write errors reported for ssd.,Component Replaced,True,Under Warranty,2022,0,36,188.14,188.14,188.14,0.0,1.0,7,159.11,8,7,70.76,Lenovo,Lenovo Slim QH3,Slim,1634.99,SSD
R0000030,P000044,LP-HP-NITRO-PL6-2021,MB-HP-NITRO-PL6-2021,Motherboard,2023-08-18,20230818,2023,8,Q3,Boot failure,Boot failure reported for motherboard.,Component Replaced,False,Out of Warranty,2021,2,24,262.21,262.21,262.21,0.0,1.0,9,242.37,4,7,70.69,HP,HP Nitro PL6,Nitro,1107.99,Motherboard
R0000031,P000044,LP-HP-NITRO-PL6-2021,BAT-HP-NITRO-PL6-2021,Battery,2022-03-21,20220321,2022,3,Q1,Rapid battery drain,Rapid battery drain reported for battery.,Repaired,True,Under Warranty,2021,1,24,30.99,101.33,101.33,70.34,0.30583242869831245,1,82.1,8,5,39.2,HP,HP Nitro PL6,Nitro,1107.99,Battery
R0000032,P000045,LP-MSI-SLIM-LW9-2023,KBD-MSI-SLIM-LW9-2023,Keyboard,2023-08-07,20230807,2023,8,Q3,Key failure,Key failure reported for keyboard.,Component Replaced,True,Under Warranty,2023,0,12,65.14,65.14,65.14,0.0,1.0,5,60.51,7,6,27.56,MSI,MSI Slim LW9,Slim,1651.99,Keyboard
R0000033,P000046,LP-ASUS-BLADE-9J8-2024,MB-ASUS-BLADE-9J8-2024,Motherboard,2024-12-17,20241217,2024,12,Q4,System instability,System instability reported for motherboard.,Repaired,True,Under Warranty,2024,0,12,244.4,581.79,581.79,337.39,0.4200828477629385,12,549.77,4,7,275.81,ASUS,ASUS Blade 9J8,Blade,2405.99,Motherboard
R0000034,P000046,LP-ASUS-BLADE-9J8-2024,BAT-ASUS-BLADE-9J8-2024,Battery,2026-01-10,20260110,2026,1,Q1,Rapid battery drain,Rapid battery drain reported for battery.,Component Replaced,False,Out of Warranty,2024,2,12,228.98,228.98,228.98,0.0,1.0,4,184.74,8,5,88.93,ASUS,ASUS Blade 9J8,Blade,2405.99,Battery
R0000035,P000047,LP-HP-NITRO-806-2021,SSD-HP-NITRO-806-2021,SSD,2026-07-28,20260728,2026,7,Q3,Storage failure,Storage failure reported for ssd.,End of Life,False,Out of Warranty,2021,5,12,10.2,138.92,138.92,128.72,0.0734235531241002,3,122.59,8,7,71.2,HP,HP Nitro 806,Nitro,1456.99,SSD
R0000036,P000048,LP-MSI-NITRO-ZVI-2024,SSD-MSI-NITRO-ZVI-2024,SSD,2024-05-12,20240512,2024,5,Q2,Storage failure,Storage failure reported for ssd.,Component Replaced,True,Under Warranty,2024,0,36,204.61,204.61,204.61,0.0,1.0,6,188.37,8,7,110.1,MSI,MSI Nitro ZVI,Nitro,2208.99,SSD
R0000037,P000057,LP-MSI-NITRO-OWS-2023,MB-MSI-NITRO-OWS-2023,Motherboard,2025-10-04,20251004,2025,10,Q4,Charging circuit failure,Charging circuit failure reported for motherboard.,Repaired,False,Out of Warranty,2023,2,12,266.23,681.94,681.94,415.71000000000004,0.3904009150365135,14,640.93,4,7,312.82,MSI,MSI Nitro OWS,Nitro,2731.99,Motherboard
R0000038,P000057,LP-MSI-NITRO-OWS-2023,BAT-MSI-NITRO-OWS-2023,Battery,2023-05-27,20230527,2023,5,Q2,Battery not charging,Battery not charging reported for battery.,Component Replaced,True,Under Warranty,2023,0,12,267.18,267.18,267.18,0.0,1.0,1,225.97,8,5,101.91,MSI,MSI Nitro OWS,Nitro,2731.99,Battery
R0000039,P000061,LP-LENOVO-CREATOR-4SP-2022,BAT-LENOVO-CREATOR-4SP-2022,Battery,2022-07-05,20220705,2022,7,Q3,Battery not charging,Battery not charging reported for battery.,Repaired,True,Under Warranty,2022,0,24,32.61,90.85,90.85,58.239999999999995,0.3589433131535498,3,83.75,8,5,41.46,Lenovo,Lenovo Creator 4SP,Creator,1105.99,Battery
R0000040,P000066,LP-ASUS-PRO-EIY-2020,SSD-ASUS-PRO-EIY-2020,SSD,2020-06-12,20200612,2020,6,Q2,Read/write errors,Read/write errors reported for ssd.,Component Replaced,True,Under Warranty,2020,0,24,216.28,216.28,216.28,0.0,1.0,4,176.6,8,7,85.89,ASUS,ASUS Pro EIY,Pro,1936.99,SSD
R0000041,P000069,LP-LENOVO-SLIM-C7H-2025,MB-LENOVO-SLIM-C7H-2025,Motherboard,2025-09-18,20250918,2025,9,Q3,System instability,System instability reported for motherboard.,Component Replaced,True,Under Warranty,2025,0,24,450.57,450.57,450.57,0.0,1.0,14,403.87,4,7,159.65,Lenovo,Lenovo Slim C7H,Slim,1857.99,Motherboard
R0000042,P000070,LP-HP-BLADE-J4W-2020,MB-HP-BLADE-J4W-2020,Motherboard,2026-01-14,20260114,2026,1,Q1,Power failure,Power failure reported for motherboard.,Component Replaced,False,Out of Warranty,2020,6,12,593.77,593.77,593.77,0.0,1.0,8,559.51,4,7,326.6,HP,HP Blade J4W,Blade,2341.99,Motherboard
R0000043,P000070,LP-HP-BLADE-J4W-2020,BAT-HP-BLADE-J4W-2020,Battery,2020-04-05,20200405,2020,4,Q2,Battery swelling,Battery swelling reported for battery.,Component Replaced,True,Under Warranty,2020,0,12,199.07,199.07,199.07,0.0,1.0,3,186.72,8,5,98.51,HP,HP Blade J4W,Blade,2341.99,Battery
R0000044,P000071,LP-HP-STEALTH-VOF-2024,DSP-HP-STEALTH-VOF-2024,Display,2025-02-08,20250208,2025,2,Q1,Dead pixels,Dead pixels reported for display.,Repaired,True,Under Warranty,2024,1,24,231.05,683.44,683.44,452.39000000000004,0.3380691794451598,9,632.07,6,6,369.06,HP,HP Stealth VOF,Stealth,3284.99,Display
R0000045,P000071,LP-HP-STEALTH-VOF-2024,BAT-HP-STEALTH-VOF-2024,Battery,2024-12-10,20241210,2024,12,Q4,Rapid battery drain,Rapid battery drain reported for battery.,Component Replaced,True,Under Warranty,2024,0,24,301.16,301.16,301.16,0.0,1.0,4,269.09,8,5,91.98,HP,HP Stealth VOF,Stealth,3284.99,Battery
R0000046,P000072,LP-DELL-PRO-NXA-2018,BAT-DELL-PRO-NXA-2018,Battery,2024-02-09,20240209,2024,2,Q1,Battery not charging,Battery not charging reported for battery.,Repaired,False,Out of Warranty,2018,6,12,51.95,151.81,151.81,99.86,0.3422040708780713,2,130.98,8,5,83.99,Dell,Dell Pro NXA,Pro,1783.99,Battery
R0000047,P000073,LP-DELL-PRO-TKC-2024,BAT-DELL-PRO-TKC-2024,Battery,2024-07-27,20240727,2024,7,Q3,Battery swelling,Battery swelling reported for battery.,Component Replaced,True,Under Warranty,2024,0,24,225.17,225.17,225.17,0.0,1.0,4,187.38,8,5,101.06,Dell,Dell Pro TKC,Pro,2179.99,Battery
R0000048,P000075,LP-LENOVO-ZEN-P4U-2022,SSD-LENOVO-ZEN-P4U-2022,SSD,2023-09-20,20230920,2023,9,Q3,Drive not detected,Drive not detected reported for ssd.,Component Replaced,True,Under Warranty,2022,1,24,256.61,256.61,256.61,0.0,1.0,4,214.94,8,7,129.1,Lenovo,Lenovo Zen P4U,Zen,2359.99,SSD
R0000049,P000076,LP-APPLE-THINK-I94-2022,MB-APPLE-THINK-I94-2022,Motherboard,2022-12-06,20221206,2022,12,Q4,Charging circuit failure,Charging circuit failure reported for motherboard.,Component Replaced,True,Under Warranty,2022,0,24,899.48,899.48,899.48,0.0,1.0,12,786.1,4,7,447.87,Apple,Apple Think I94,Think,3428.99,Motherboard
R0000050,P000079,LP-DELL-ZEN-C3D-2025,MB-DELL-ZEN-C3D-2025,Motherboard,2025-07-09,20250709,2025,7,Q3,System instability,System instability reported for motherboard.,Component Replaced,True,Under Warranty,2025,0,24,392.79,392.79,392.79,0.0,1.0,15,335.81,4,7,112.08,Dell,Dell Zen C3D,Zen,1535.99,Motherboard
R0000051,P000081,LP-LENOVO-ZEN-7XQ-2019,SSD-LENOVO-ZEN-7XQ-2019,SSD,2025-10-05,20251005,2025,10,Q4,Storage failure,Storage failure reported for ssd.,Component Replaced,False,Out of Warranty,2019,6,12,142.11,142.11,142.11,0.0,1.0,6,128.18,8,7,79.38,Lenovo,Lenovo Zen 7XQ,Zen,1403.99,SSD
R0000052,P000086,LP-HP-CREATOR-CX3-2024,MB-HP-CREATOR-CX3-2024,Motherboard,2024-11-29,20241129,2024,11,Q4,Power failure,Power failure reported for motherboard.,Component Replaced,True,Under Warranty,2024,0,12,496.8,496.8,496.8,0.0,1.0,11,446.44,4,7,267.77,HP,HP Creator CX3,Creator,2197.99,Motherboard
R0000053,P000086,LP-HP-CREATOR-CX3-2024,BAT-HP-CREATOR-CX3-2024,Battery,2025-08-26,20250826,2025,8,Q3,Battery swelling,Battery swelling reported for battery.,Component Replaced,False,Out of Warranty,2024,1,12,192.25,192.25,192.25,0.0,1.0,4,171.95,8,5,76.28,HP,HP Creator CX3,Creator,2197.99,Battery
R0000054,P000087,LP-APPLE-THINK-MF2-2024,BAT-APPLE-THINK-MF2-2024,Battery,2025-03-14,20250314,2025,3,Q1,Battery degradation,Battery degradation reported for battery.,Component Replaced,True,Under Warranty,2024,1,24,186.86,186.86,186.86,0.0,1.0,4,171.39,8,5,64.75,Apple,Apple Think MF2,Think,2112.99,Battery
R0000055,P000088,LP-DELL-NITRO-IYG-2025,MB-DELL-NITRO-IYG-2025,Motherboard,2025-10-11,20251011,2025,10,Q4,Charging circuit failure,Charging circuit failure reported for motherboard.,Repaired,True,Under Warranty,2025,0,36,308.39,536.04,536.04,227.64999999999998,0.5753115439146332,5,432.35,4,7,186.26,Dell,Dell Nitro IYG,Nitro,2166.99,Motherboard
R0000056,P000088,LP-DELL-NITRO-IYG-2025,BAT-DELL-NITRO-IYG-2025,Battery,2026-03-03,20260303,2026,3,Q1,Battery not charging,Battery not charging reported for battery.,Component Replaced,True,Under Warranty,2025,1,36,198.21,198.21,198.21,0.0,1.0,3,174.14,8,5,82.3,Dell,Dell Nitro IYG,Nitro,2166.99,Battery
R0000057,P000090,LP-HP-CREATOR-CMV-2019,MB-HP-CREATOR-CMV-2019,Motherboard,2022-10-14,20221014,2022,10,Q4,System instability,System instability reported for motherboard.,Repaired,False,Out of Warranty,2019,3,12,128.39,369.85,369.85,241.46000000000004,0.34714073272948487,6,312.98,4,7,170.5,HP,HP Creator CMV,Creator,1353.99,Motherboard
R0000058,P000092,LP-APPLE-CREATOR-LE9-2020,DSP-APPLE-CREATOR-LE9-2020,Display,2021-03-29,20210329,2021,3,Q1,Backlight failure,Backlight failure reported for display.,Repaired,False,Out of Warranty,2020,1,12,291.39,694.7,694.7,403.31000000000006,0.41944724341442347,4,614.51,6,6,151.31,Apple,Apple Creator LE9,Creator,3268.99,Display
R0000059,P000093,LP-SAMSUNG-CREATOR-CVL-2022,BAT-SAMSUNG-CREATOR-CVL-2022,Battery,2024-08-07,20240807,2024,8,Q3,Battery not charging,Battery not charging reported for battery.,Component Replaced,False,Out of Warranty,2022,2,24,249.87,249.87,249.87,0.0,1.0,4,211.17,8,5,134.03,Samsung,Samsung Creator CVL,Creator,2827.99,Battery
R0000060,P000094,LP-SAMSUNG-THINK-TLL-2025,BAT-SAMSUNG-THINK-TLL-2025,Battery,2025-05-11,20250511,2025,5,Q2,Rapid battery drain,Rapid battery drain reported for battery.,Component Replaced,True,Under Warranty,2025,0,12,150.63,150.63,150.63,0.0,1.0,3,128.57,8,5,42.8,Samsung,Samsung Think TLL,Think,1703.99,Battery
R0000061,P000098,LP-DELL-NITRO-3NJ-2023,MB-DELL-NITRO-3NJ-2023,Motherboard,2024-12-05,20241205,2024,12,Q4,Power failure,Power failure reported for motherboard.,Component Replaced,True,Under Warranty,2023,1,24,334.38,334.38,334.38,0.0,1.0,7,298.33,4,7,187.08,Dell,Dell Nitro 3NJ,Nitro,1411.99,Motherboard
R0000062,P000099,LP-HP-ZEN-31X-2024,DSP-HP-ZEN-31X-2024,Display,2025-02-02,20250202,2025,2,Q1,Backlight failure,Backlight failure reported for display.,Repaired,True,Under Warranty,2024,1,24,111.86,215.62,215.62,103.76,0.5187830442445042,7,180.22,6,6,64.84,HP,HP Zen 31X,Zen,1108.99,Display
R0000063,P000100,LP-HP-ZEN-X5I-2018,MB-HP-ZEN-X5I-2018,Motherboard,2020-11-16,20201116,2020,11,Q4,Power failure,Power failure reported for motherboard.,Component Replaced,False,Out of Warranty,2018,2,24,532.24,532.24,532.24,0.0,1.0,10,439.28,4,7,123.02,HP,HP Zen X5I,Zen,1881.99,Motherboard
R0000064,P000104,LP-ACER-STEALTH-YSY-2023,MB-ACER-STEALTH-YSY-2023,Motherboard,2024-07-16,20240716,2024,7,Q3,Boot failure,Boot failure reported for motherboard.,Component Replaced,True,Under Warranty,2023,1,24,453.59,453.59,453.59,0.0,1.0,5,377.75,4,7,79.06,Acer,Acer Stealth YSY,Stealth,1758.99,Motherboard
R0000065,P000104,LP-ACER-STEALTH-YSY-2023,DSP-ACER-STEALTH-YSY-2023,Display,2023-07-26,20230726,2023,7,Q3,Display failure,Display failure reported for display.,End of Life,True,Under Warranty,2023,0,24,65.1,414.79,414.79,349.69000000000005,0.15694688878709706,7,334.39,6,6,73.26,Acer,Acer Stealth YSY,Stealth,1758.99,Display
R0000066,P000106,LP-DELL-CREATOR-RTZ-2018,BAT-DELL-CREATOR-RTZ-2018,Battery,2026-04-23,20260423,2026,4,Q2,Rapid battery drain,Rapid battery drain reported for battery.,Repaired,False,Out of Warranty,2018,8,12,88.24,204.64,204.64,116.39999999999999,0.4311962470680219,1,168.67,8,5,71.8,Dell,Dell Creator RTZ,Creator,2056.99,Battery
R0000067,P000106,LP-DELL-CREATOR-RTZ-2018,SSD-DELL-CREATOR-RTZ-2018,SSD,2025-10-30,20251030,2025,10,Q4,Read/write errors,Read/write errors reported for ssd.,Component Replaced,False,Out of Warranty,2018,7,12,177.16,177.16,177.16,0.0,1.0,4,167.07,8,7,74.68,Dell,Dell Creator RTZ,Creator,2056.99,SSD
R0000068,P000108,LP-HP-THINK-N5U-2022,MB-HP-THINK-N5U-2022,Motherboard,2026-08-09,20260809,2026,8,Q3,System instability,System instability reported for motherboard.,Component Replaced,False,Out of Warranty,2022,4,24,324.23,324.23,324.23,0.0,1.0,13,297.17,4,7,124.03,HP,HP Think N5U,Think,1378.99,Motherboard
R0000069,P000108,LP-HP-THINK-N5U-2022,SSD-HP-THINK-N5U-2022,SSD,2023-09-16,20230916,2023,9,Q3,Storage failure,Storage failure reported for ssd.,Component Replaced,True,Under Warranty,2022,1,24,137.91,137.91,137.91,0.0,1.0,2,120.96,8,7,60.77,HP,HP Think N5U,Think,1378.99,SSD
R0000070,P000109,LP-DELL-STEALTH-SZR-2021,DSP-DELL-STEALTH-SZR-2021,Display,2022-10-10,20221010,2022,10,Q4,Dead pixels,Dead pixels reported for display.,Component Replaced,True,Under Warranty,2021,1,36,379.45,379.45,379.45,0.0,1.0,6,357.94,6,6,172.66,Dell,Dell Stealth SZR,Stealth,1939.99,Display
R0000071,P000114,LP-ACER-CREATOR-3LH-2020,MB-ACER-CREATOR-3LH-2020,Motherboard,2021-07-05,20210705,2021,7,Q3,System instability,System instability reported for motherboard.,Component Replaced,True,Under Warranty,2020,1,24,322.2,322.2,322.2,0.0,1.0,15,297.47,4,7,178.75,Acer,Acer Creator 3LH,Creator,1474.99,Motherboard
R0000072,P000114,LP-ACER-CREATOR-3LH-2020,BAT-ACER-CREATOR-3LH-2020,Battery,2023-03-01,20230301,2023,3,Q1,Battery swelling,Battery swelling reported for battery.,Repaired,False,Out of Warranty,2020,3,24,37.67,127.96,127.96,90.28999999999999,0.29438887152235077,1,120.54,8,5,45.32,Acer,Acer Creator 3LH,Creator,1474.99,Battery
R0000073,P000114,LP-ACER-CREATOR-3LH-2020,SSD-ACER-CREATOR-3LH-2020,SSD,2026-06-10,20260610,2026,6,Q2,Storage failure,Storage failure reported for ssd.,Component Replaced,False,Out of Warranty,2020,6,24,151.15,151.15,151.15,0.0,1.0,2,130.51,8,7,67.0,Acer,Acer Creator 3LH,Creator,1474.99,SSD
R0000074,P000118,LP-MSI-PRO-5MR-2021,MB-MSI-PRO-5MR-2021,Motherboard,2022-10-17,20221017,2022,10,Q4,Power failure,Power failure reported for motherboard.,Component Replaced,True,Under Warranty,2021,1,24,454.54,454.54,454.54,0.0,1.0,5,369.05,4,7,199.81,MSI,MSI Pro 5MR,Pro,1555.99,Motherboard
R0000075,P000121,LP-DELL-STEALTH-89T-2023,BAT-DELL-STEALTH-89T-2023,Battery,2024-12-23,20241223,2024,12,Q4,Battery swelling,Battery swelling reported for battery.,Component Replaced,False,Out of Warranty,2023,1,12,225.95,225.95,225.95,0.0,1.0,3,199.87,8,5,75.1,Dell,Dell Stealth 89T,Stealth,2296.99,Battery
